account,sector,year_established,revenue,employees,office_location,subsidiary_of,Table,Field,Description,product,series,sales_price,opportunity_id,sales_agent,deal_stage,engage_date,close_date,close_value,manager,regional_office
Scottech,marketing,2012.0,45.39,100.0,United States,Inity,,,,,,,,,,,,,,
Silis,medical,1994.0,2818.38,6290.0,United States,,,,,,,,,,,,,,,
Singletechno,retail,1996.0,2214.94,5374.0,United States,,,,,,,,,,,,,,,
Sonron,telecommunications,1999.0,1699.85,5108.0,United States,,,,,,,,,,,,,,,
Stanredtax,finance,1987.0,1698.2,3798.0,United States,,,,,,,,,,,,,,,
Statholdings,employment,1997.0,291.27,586.0,United States,,,,,,,,,,,,,,,
Streethex,retail,1988.0,1376.8,1165.0,Belgium,,,,,,,,,,,,,,,
Sumace,retail,2000.0,167.89,493.0,Romania,,,,,,,,,,,,,,,
Sunnamplex,marketing,2008.0,894.37,1593.0,Poland,,,,,,,,,,,,,,,
The New York Inquirer,medical,1996.0,439.21,792.0,United States,,,,,,,,,,,,,,,
Toughzap,retail,1995.0,332.43,799.0,United States,,,,,,,,,,,,,,,
Treequote,telecommunications,1988.0,5266.09,8595.0,United States,Sonron,,,,,,,,,,,,,,
Umbrella Corporation,finance,1998.0,2022.14,5113.0,United States,,,,,,,,,,,,,,,
Vehement Capital Partners,finance,1993.0,646.1,883.0,United States,Golddex,,,,,,,,,,,,,,
Warephase,services,1997.0,2041.73,5276.0,United States,,,,,,,,,,,,,,,
Xx-holding,finance,1993.0,7537.24,20293.0,United States,,,,,,,,,,,,,,,
Xx-zobam,entertainment,1989.0,3838.39,8274.0,United States,,,,,,,,,,,,,,,
Y-corporation,employment,1983.0,2871.35,9561.0,United States,,,,,,,,,,,,,,,
Yearin,retail,2005.0,2261.05,3851.0,United States,,,,,,,,,,,,,,,
Zathunicon,retail,2010.0,71.12,144.0,United States,,,,,,,,,,,,,,,
Zencorporation,technolgy,2011.0,40.79,142.0,China,,,,,,,,,,,,,,,
Zoomit,entertainment,1992.0,324.19,978.0,United States,,,,,,,,,,,,,,,
Zotware,software,1979.0,4478.47,13809.0,United States,,,,,,,,,,,,,,,
Zumgoity,medical,1984.0,441.08,1210.0,United States,,,,,,,,,,,,,,,
,,,,,,,accounts,account,Company name,,,,,,,,,,,
,,,,,,,accounts,sector,Industry,,,,,,,,,,,
,,,,,,,accounts,year_established,Year Established,,,,,,,,,,,
,,,,,,,accounts,revenue,Annual revenue (in millions of USD),,,,,,,,,,,
,,,,,,,accounts,employees,Number of employees,,,,,,,,,,,
,,,,,,,accounts,office_location,Headquarters,,,,,,,,,,,
,,,,,,,accounts,subsidiary_of,Parent company,,,,,,,,,,,
,,,,,,,products,product,Product name,,,,,,,,,,,
,,,,,,,products,series,Product series,,,,,,,,,,,
,,,,,,,products,sales_price,Suggested retail price,,,,,,,,,,,
,,,,,,,sales_teams,sales_agent,Sales agent,,,,,,,,,,,
,,,,,,,sales_teams,manager,Respective sales manager,,,,,,,,,,,
,,,,,,,sales_teams,regional_office,Regional office,,,,,,,,,,,
,,,,,,,sales_pipeline,opportunity_id,Unique identifier,,,,,,,,,,,
,,,,,,,sales_pipeline,sales_agent,Sales agent ,,,,,,,,,,,
,,,,,,,sales_pipeline,product,Product name,,,,,,,,,,,
,,,,,,,sales_pipeline,account,Company name,,,,,,,,,,,
,,,,,,,sales_pipeline,deal_stage,Sales pipeline stage (Prospecting > Engaging > Won / Lost),,,,,,,,,,,
,,,,,,,sales_pipeline,engage_date,"Date in which the ""Engaging"" deal stage was initiated",,,,,,,,,,,
,,,,,,,sales_pipeline,close_date,"Date in which the deal was ""Won"" or ""Lost""",,,,,,,,,,,
,,,,,,,sales_pipeline,close_value,Revenue from the deal,,,,,,,,,,,
,,,,,,,,,,GTX Basic,GTX,550.0,,,,,,,,
,,,,,,,,,,GTX Pro,GTX,4821.0,,,,,,,,
,,,,,,,,,,MG Special,MG,55.0,,,,,,,,
,,,,,,,,,,MG Advanced,MG,3393.0,,,,,,,,
,,,,,,,,,,GTX Plus Pro,GTX,5482.0,,,,,,,,
,,,,,,,,,,GTX Plus Basic,GTX,1096.0,,,,,,,,
,,,,,,,,,,GTK 500,GTK,26768.0,,,,,,,,
Cancity,,,,,,,,,,GTX Plus Basic,,,1C1I7A6R,Moses Frase,Won,2016-10-20,2017-03-01,1054.0,,
Isdom,,,,,,,,,,GTXPro,,,Z063OYW0,Darcel Schlecht,Won,2016-10-25,2017-03-11,4514.0,,
Cancity,,,,,,,,,,MG Special,,,EC4QE1BX,Darcel Schlecht,Won,2016-10-25,2017-03-07,50.0,,
Codehow,,,,,,,,,,GTX Basic,,,MV1LWRNH,Moses Frase,Won,2016-10-25,2017-03-09,588.0,,
Hatfan,,,,,,,,,,GTX Basic,,,PE84CX4O,Zane Levy,Won,2016-10-25,2017-03-02,517.0,,
Ron-tech,,,,,,,,,,MG Special,,,ZNBS69V1,Anna Snelling,Won,2016-10-29,2017-03-01,49.0,,
J-Texon,,,,,,,,,,MG Special,,,9ME3374G,Vicki Laflamme,Won,2016-10-30,2017-03-02,57.0,,
Cheers,,,,,,,,,,GTX Basic,,,7GN8Q4LL,Markita Hansen,Won,2016-11-01,2017-03-07,601.0,,
Zumgoity,,,,,,,,,,GTX Plus Basic,,,OLK9LKZB,Niesha Huffines,Won,2016-11-01,2017-03-03,1026.0,,
,,,,,,,,,,MG Advanced,,,HAXMC4IX,James Ascencio,Engaging,2016-11-03,,,,
Bioholding,,,,,,,,,,MG Special,,,NL3JZH1Z,Anna Snelling,Won,2016-11-04,2017-03-10,53.0,,
Genco Pura Olive Oil Company,,,,,,,,,,GTXPro,,,KWVA7VR1,Gladys Colclough,Lost,2016-11-04,2017-03-18,0.0,,
Sunnamplex,,,,,,,,,,GTX Plus Pro,,,S8DX3XOU,James Ascencio,Won,2016-11-04,2017-03-10,5169.0,,
Sonron,,,,,,,,,,GTX Plus Pro,,,ENB2XD8G,Maureen Marcano,Won,2016-11-04,2017-03-06,4631.0,,
Finjob,,,,,,,,,,MG Advanced,,,09YE9QOV,Hayden Neloms,Won,2016-11-05,2017-03-11,3393.0,,
Sonron,,,,,,,,,,MG Special,,,3F5MZNEH,Rosalina Dieter,Lost,2016-11-05,2017-03-03,0.0,,
Scotfind,,,,,,,,,,MG Advanced,,,M6WEJXC0,Rosalina Dieter,Won,2016-11-05,2017-03-06,3284.0,,
Treequote,,,,,,,,,,MG Special,,,6PTR7VBR,Versie Hillebrand,Won,2016-11-06,2017-03-05,61.0,,
Xx-zobam,,,,,,,,,,GTXPro,,,902REDPA,Daniell Hammack,Lost,2016-11-07,2017-03-09,0.0,,
Rantouch,,,,,,,,,,MG Special,,,5J9CMGDV,Elease Gluck,Won,2016-11-07,2017-03-08,46.0,,
Fasehatice,,,,,,,,,,GTX Plus Pro,,,JJXRR8R6,James Ascencio,Lost,2016-11-07,2017-03-17,0.0,,
Ron-tech,,,,,,,,,,MG Special,,,WF4HA5NW,Moses Frase,Won,2016-11-07,2017-03-18,50.0,,
Vehement Capital Partners,,,,,,,,,,GTX Plus Basic,,,C5K2JP1H,Violet Mclelland,Won,2016-11-07,2017-03-11,1014.0,,
Warephase,,,,,,,,,,GTX Basic,,,ADRB8OMB,Darcel Schlecht,Won,2016-11-08,2017-03-26,561.0,,
Zoomit,,,,,,,,,,GTX Basic,,,SBCR987L,Kami Bicknell,Won,2016-11-10,2017-03-23,590.0,,
Ganjaflex,,,,,,,,,,MG Advanced,,,UP409DSB,Maureen Marcano,Engaging,2016-11-10,,,,
Bioholding,,,,,,,,,,MG Special,,,JSD4APT2,Versie Hillebrand,Won,2016-11-10,2017-03-12,61.0,,
Xx-zobam,,,,,,,,,,GTX Plus Pro,,,AO9Z2D17,Violet Mclelland,Lost,2016-11-10,2017-03-11,0.0,,
Cheers,,,,,,,,,,MG Special,,,5M58DTJK,Elease Gluck,Won,2016-11-11,2017-03-05,58.0,,
Labdrill,,,,,,,,,,GTXPro,,,KNY1OSAB,Maureen Marcano,Won,2016-11-11,2017-03-14,4899.0,,
Zotware,,,,,,,,,,MG Advanced,,,EAZDUUM9,Rosie Papadopoulos,Lost,2016-11-11,2017-03-01,0.0,,
dambase,,,,,,,,,,MG Special,,,2STUSOFE,Versie Hillebrand,Won,2016-11-11,2017-03-03,67.0,,
Xx-holding,,,,,,,,,,GTXPro,,,JYKM0B00,James Ascencio,Won,2016-11-12,2017-03-06,4338.0,,
Fasehatice,,,,,,,,,,GTX Basic,,,KU28360J,Kary Hendrixson,Won,2016-11-12,2017-03-19,578.0,,
Acme Corporation,,,,,,,,,,GTX Basic,,,N4SD17JR,Reed Clapper,Won,2016-11-12,2017-03-01,556.0,,
Green-Plus,,,,,,,,,,GTX Basic,,,E67P9Y3Q,Rosalina Dieter,Won,2016-11-12,2017-03-03,635.0,,
The New York Inquirer,,,,,,,,,,MG Advanced,,,AT3MMVIS,Wilburn Farren,Won,2016-11-12,2017-03-07,3045.0,,
Mathtouch,,,,,,,,,,GTX Plus Basic,,,REJ11LRY,Garret Kinder,Won,2016-11-13,2017-03-14,1233.0,,
Zumgoity,,,,,,,,,,MG Special,,,ERV0CAZ7,Versie Hillebrand,Won,2016-11-13,2017-03-09,60.0,,
Gogozoom,,,,,,,,,,MG Special,,,8SOQADK7,Anna Snelling,Lost,2016-11-14,2017-03-30,0.0,,
Stanredtax,,,,,,,,,,GTX Basic,,,TCHFT25B,Darcel Schlecht,Lost,2016-11-14,2017-03-08,0.0,,
Konmatfix,,,,,,,,,,GTX Plus Basic,,,CZVN09WN,Darcel Schlecht,Won,2016-11-14,2017-03-20,1170.0,,
,,,,,,,,,,GTX Basic,,,EG7OFLFR,Kami Bicknell,Engaging,2016-11-14,,,,
Genco Pura Olive Oil Company,,,,,,,,,,GTX Plus Basic,,,30UQWUKB,Marty Freudenburg,Won,2016-11-15,2017-03-20,1162.0,,
,,,,,,,,,,GTXPro,,,OLVI7L8M,Cassey Cress,Engaging,2016-11-16,,,,
Conecom,,,,,,,,,,MG Advanced,,,97UN20YY,Darcel Schlecht,Won,2016-11-16,2017-03-14,3725.0,,
Golddex,,,,,,,,,,GTX Basic,,,JXLERZ9O,Kary Hendrixson,Won,2016-11-16,2017-03-31,559.0,,
Plexzap,,,,,,,,,,GTX Basic,,,6ROE69W5,Rosalina Dieter,Lost,2016-11-16,2017-03-11,0.0,,
Rundofase,,,,,,,,,,GTX Plus Basic,,,0DFXFKT7,Darcel Schlecht,Lost,2016-11-17,2017-03-21,0.0,,
Sonron,,,,,,,,,,GTX Plus Pro,,,XKMZVSN4,James Ascencio,Won,2016-11-17,2017-03-05,4667.0,,
Finhigh,,,,,,,,,,GTX Plus Basic,,,IU8V0BZK,Marty Freudenburg,Won,2016-11-17,2017-03-17,903.0,,
Finjob,,,,,,,,,,GTX Plus Basic,,,XY42936P,Maureen Marcano,Won,2016-11-17,2017-03-13,1180.0,,
Ron-tech,,,,,,,,,,GTX Basic,,,XRN54MBM,Niesha Huffines,Won,2016-11-17,2017-03-05,487.0,,
Stanredtax,,,,,,,,,,MG Advanced,,,2V848WZD,Lajuana Vencill,Won,2016-11-18,2017-03-04,3180.0,,
Funholding,,,,,,,,,,GTXPro,,,ONYNTUCG,Darcel Schlecht,Lost,2016-11-19,2017-03-17,0.0,,
Gogozoom,,,,,,,,,,MG Advanced,,,HIOHX80Y,Darcel Schlecht,Won,2016-11-19,2017-03-18,3563.0,,
,,,,,,,,,,GTX Plus Basic,,,F5U1ACDD,Kami Bicknell,Engaging,2016-11-19,,,,
Opentech,,,,,,,,,,GTXPro,,,LPKT07PV,Boris Faz,Won,2016-11-20,2017-03-23,4704.0,,
Silis,,,,,,,,,,GTX Plus Pro,,,WPB2SLIG,Donn Cantrell,Won,2016-11-20,2017-03-14,5585.0,,
Zoomit,,,,,,,,,,GTK 500,,,XUSUEAV7,Elease Gluck,Won,2016-11-20,2017-03-09,25897.0,,
,,,,,,,,,,MG Advanced,,,ZZY4516R,Hayden Neloms,Engaging,2016-11-20,,,,
Goodsilron,,,,,,,,,,GTX Plus Basic,,,3TYPII47,Kami Bicknell,Won,2016-11-20,2017-03-03,1207.0,,
Cancity,,,,,,,,,,MG Advanced,,,7WAX8Z8O,Lajuana Vencill,Lost,2016-11-20,2017-03-08,0.0,,
Rangreen,,,,,,,,,,GTX Basic,,,MYDUMR3R,Lajuana Vencill,Won,2016-11-20,2017-03-04,559.0,,
Green-Plus,,,,,,,,,,GTX Basic,,,0DRC1U9Q,Maureen Marcano,Engaging,2016-11-20,,,,
dambase,,,,,,,,,,GTX Plus Basic,,,37JFKD4I,Niesha Huffines,Won,2016-11-20,2017-03-09,1033.0,,
Kan-code,,,,,,,,,,GTX Basic,,,25YKPHX8,Donn Cantrell,Won,2016-11-21,2017-03-21,462.0,,
Nam-zim,,,,,,,,,,MG Advanced,,,BXXMA7F3,Hayden Neloms,Lost,2016-11-21,2017-03-01,0.0,,
Y-corporation,,,,,,,,,,GTXPro,,,GIUUTBXM,Kary Hendrixson,Won,2016-11-21,2017-03-14,5539.0,,
Ron-tech,,,,,,,,,,MG Advanced,,,MFX2LR1Q,Lajuana Vencill,Won,2016-11-21,2017-03-15,3573.0,,
Conecom,,,,,,,,,,GTXPro,,,DUHE9FLY,Marty Freudenburg,Won,2016-11-21,2017-03-01,4926.0,,
Sunnamplex,,,,,,,,,,GTX Plus Basic,,,96BSG7R1,Zane Levy,Lost,2016-11-21,2017-03-17,0.0,,
Bioplex,,,,,,,,,,MG Special,,,7FQMSWIX,Corliss Cosme,Won,2016-11-22,2017-03-04,62.0,,
Gogozoom,,,,,,,,,,GTXPro,,,C20AVXN7,Darcel Schlecht,Won,2016-11-22,2017-03-14,4359.0,,
Plusstrip,,,,,,,,,,GTX Basic,,,GS1QVWCR,Kami Bicknell,Won,2016-11-22,2017-03-31,566.0,,
Toughzap,,,,,,,,,,GTX Basic,,,ZWH8FXY3,Marty Freudenburg,Won,2016-11-22,2017-03-03,508.0,,
Vehement Capital Partners,,,,,,,,,,MG Advanced,,,2U94Y3Q9,Rosie Papadopoulos,Lost,2016-11-22,2017-03-20,0.0,,
Codehow,,,,,,,,,,MG Special,,,AAR79NOO,Versie Hillebrand,Won,2016-11-22,2017-03-11,51.0,,
Dalttechnology,,,,,,,,,,GTXPro,,,B6B0PNR2,Vicki Laflamme,Won,2016-11-22,2017-03-05,4899.0,,
Cheers,,,,,,,,,,GTX Basic,,,M7I5O9YU,Corliss Cosme,Engaging,2016-11-23,,,,
Ontomedia,,,,,,,,,,GTX Plus Pro,,,LXZA2OSZ,Corliss Cosme,Won,2016-11-23,2017-03-03,5790.0,,
Kinnamplus,,,,,,,,,,MG Special,,,N0ONCYVZ,Donn Cantrell,Lost,2016-11-23,2017-03-30,0.0,,
,,,,,,,,,,MG Advanced,,,GYB4W2AU,Elease Gluck,Engaging,2016-11-23,,,,
Codehow,,,,,,,,,,GTXPro,,,513DPFX5,Gladys Colclough,Won,2016-11-23,2017-03-03,4438.0,,
Finhigh,,,,,,,,,,MG Advanced,,,RU023K5W,Gladys Colclough,Won,2016-11-23,2017-03-17,2972.0,,
Lexiqvolax,,,,,,,,,,MG Special,,,VDIU10RV,Markita Hansen,Engaging,2016-11-23,,,,
Y-corporation,,,,,,,,,,GTX Basic,,,BZCBQ514,Markita Hansen,Won,2016-11-23,2017-03-01,523.0,,
Statholdings,,,,,,,,,,MG Advanced,,,HEE6P0QH,Anna Snelling,Won,2016-11-24,2017-03-25,3647.0,,
Umbrella Corporation,,,,,,,,,,MG Advanced,,,L8CHRJ2B,Cassey Cress,Won,2016-11-24,2017-03-01,4200.0,,
J-Texon,,,,,,,,,,GTX Plus Basic,,,579LZ3F9,Daniell Hammack,Engaging,2016-11-24,,,,
Bubba Gump,,,,,,,,,,GTX Plus Basic,,,SU8JNMP4,Kami Bicknell,Engaging,2016-11-24,,,,
Faxquote,,,,,,,,,,GTX Plus Basic,,,V2X2KMUR,Kami Bicknell,Won,2016-11-24,2017-03-28,1059.0,,
Codehow,,,,,,,,,,GTX Plus Basic,,,AJIPJP75,Marty Freudenburg,Lost,2016-11-24,2017-03-05,0.0,,
Dontechi,,,,,,,,,,MG Special,,,NYVA2G6U,Versie Hillebrand,Won,2016-11-24,2017-03-02,57.0,,
Konex,,,,,,,,,,MG Advanced,,,FF45BXTL,Vicki Laflamme,Won,2016-11-24,2017-03-27,3671.0,,
Treequote,,,,,,,,,,MG Special,,,TTA9LYBS,Anna Snelling,Won,2016-11-25,2017-03-01,58.0,,
Treequote,,,,,,,,,,MG Advanced,,,PAGZQH8L,Cecily Lampkin,Won,2016-11-25,2017-03-06,3956.0,,
Betasoloin,,,,,,,,,,GTX Plus Pro,,,J7YF6DS7,Corliss Cosme,Won,2016-11-25,2017-03-01,5964.0,,
Betasoloin,,,,,,,,,,GTXPro,,,S5IXY4Z9,Corliss Cosme,Won,2016-11-25,2017-03-06,4570.0,,
Domzoom,,,,,,,,,,MG Special,,,JQBJMETQ,Darcel Schlecht,Won,2016-11-25,2017-03-27,49.0,,
Donquadtech,,,,,,,,,,MG Special,,,0LVWSWEW,Violet Mclelland,Won,2016-11-25,2017-03-06,65.0,,
Domzoom,,,,,,,,,,MG Special,,,K53BC1T9,Anna Snelling,Lost,2016-11-26,2017-03-27,0.0,,
Finhigh,,,,,,,,,,GTXPro,,,D40N5I9Y,Darcel Schlecht,Won,2016-11-26,2017-03-08,4739.0,,
Globex Corporation,,,,,,,,,,GTX Plus Basic,,,051QTX8Z,Niesha Huffines,Won,2016-11-26,2017-03-21,1080.0,,
Plussunin,,,,,,,,,,MG Special,,,5D2XH04S,Reed Clapper,Won,2016-11-26,2017-03-12,57.0,,
Konex,,,,,,,,,,GTX Basic,,,V9E582SK,Garret Kinder,Won,2016-11-27,2017-03-16,469.0,,
Condax,,,,,,,,,,GTX Basic,,,UK0LEZRJ,Kary Hendrixson,Won,2016-11-27,2017-03-03,532.0,,
Opentech,,,,,,,,,,MG Advanced,,,PFFHM7HR,Markita Hansen,Engaging,2016-11-27,,,,
Konex,,,,,,,,,,GTX Basic,,,IT10CFQH,Rosalina Dieter,Won,2016-11-27,2017-03-26,538.0,,
Massive Dynamic,,,,,,,,,,GTXPro,,,8VKD2CCH,Rosie Papadopoulos,Won,2016-11-27,2017-03-21,4829.0,,
Doncon,,,,,,,,,,GTX Plus Pro,,,2XQAKBXH,Zane Levy,Won,2016-11-27,2017-03-11,5370.0,,
Hatfan,,,,,,,,,,GTX Plus Pro,,,7G7YLGJO,Zane Levy,Won,2016-11-27,2017-03-21,6499.0,,
Genco Pura Olive Oil Company,,,,,,,,,,GTX Plus Basic,,,GCA97W27,Darcel Schlecht,Won,2016-11-28,2017-03-06,1161.0,,
Scotfind,,,,,,,,,,GTX Basic,,,K8FUZHOG,Kary Hendrixson,Won,2016-11-28,2017-03-26,576.0,,
Hatfan,,,,,,,,,,GTX Plus Basic,,,5WJZMULK,Maureen Marcano,Won,2016-11-28,2017-03-19,979.0,,
Stanredtax,,,,,,,,,,MG Special,,,ZPYD4T9W,Versie Hillebrand,Won,2016-11-28,2017-03-07,43.0,,
Scottech,,,,,,,,,,MG Special,,,KE9ZEDS8,Gladys Colclough,Won,2016-11-29,2017-03-07,57.0,,
Ron-tech,,,,,,,,,,MG Special,,,7KK0HQ4C,Lajuana Vencill,Lost,2016-11-29,2017-03-28,0.0,,
Funholding,,,,,,,,,,GTX Plus Basic,,,FP7014Z0,Lajuana Vencill,Won,2016-11-29,2017-03-12,948.0,,
Plussunin,,,,,,,,,,MG Advanced,,,N4HFHDMW,Wilburn Farren,Won,2016-11-29,2017-03-10,3012.0,,
Zotware,,,,,,,,,,MG Advanced,,,2HFLKREC,Cassey Cress,Won,2016-11-30,2017-03-15,3665.0,,
Gekko & Co,,,,,,,,,,GTX Basic,,,7JVTTVCO,Violet Mclelland,Won,2016-11-30,2017-03-24,564.0,,
dambase,,,,,,,,,,GTX Plus Basic,,,3X13866U,Anna Snelling,Lost,2016-12-01,2017-03-06,0.0,,
Initech,,,,,,,,,,MG Advanced,,,7LE19SYE,Cassey Cress,Won,2016-12-01,2017-03-22,3463.0,,
Gekko & Co,,,,,,,,,,GTX Basic,,,J5V2M7Y1,Corliss Cosme,Won,2016-12-01,2017-03-26,513.0,,
Konex,,,,,,,,,,GTX Basic,,,41MURAI5,Corliss Cosme,Won,2016-12-01,2017-03-28,590.0,,
Dontechi,,,,,,,,,,GTXPro,,,QHI8WRIA,Darcel Schlecht,Won,2016-12-01,2017-03-30,4511.0,,
Finhigh,,,,,,,,,,MG Advanced,,,AJXAXV4W,Lajuana Vencill,Lost,2016-12-01,2017-03-02,0.0,,
Cancity,,,,,,,,,,GTX Basic,,,VPDXX5PJ,Niesha Huffines,Won,2016-12-01,2017-03-26,546.0,,
Y-corporation,,,,,,,,,,MG Special,,,PZB9NUK8,Vicki Laflamme,Won,2016-12-01,2017-03-05,46.0,,
Ron-tech,,,,,,,,,,GTXPro,,,A0ANOYPF,Darcel Schlecht,Won,2016-12-02,2017-03-09,4891.0,,
Golddex,,,,,,,,,,GTX Plus Basic,,,0P4AAPYX,Hayden Neloms,Won,2016-12-02,2017-03-03,1040.0,,
Sonron,,,,,,,,,,GTX Plus Basic,,,O6T5WC3W,Hayden Neloms,Won,2016-12-02,2017-03-04,1108.0,,
Nam-zim,,,,,,,,,,MG Special,,,0NO04P6C,Hayden Neloms,Won,2016-12-02,2017-03-04,59.0,,
Statholdings,,,,,,,,,,GTXPro,,,22OFSXBT,Jonathan Berthelot,Won,2016-12-02,2017-03-30,5406.0,,
Cheers,,,,,,,,,,GTX Basic,,,MRXZTMM6,Kary Hendrixson,Won,2016-12-02,2017-03-20,515.0,,
Treequote,,,,,,,,,,GTX Basic,,,LGI8QEC2,Moses Frase,Won,2016-12-02,2017-03-06,583.0,,
Funholding,,,,,,,,,,MG Special,,,6KZ0NCFX,Versie Hillebrand,Won,2016-12-02,2017-03-14,54.0,,
Plusstrip,,,,,,,,,,MG Special,,,3SF8O9S6,Vicki Laflamme,Won,2016-12-02,2017-03-27,60.0,,
,,,,,,,,,,GTX Basic,,,CNM0H9FR,Zane Levy,Engaging,2016-12-02,,,,
